2021-08-22 13:16:23        METADATA: Unknown types found, no types for AdId, AdvertisementOf, AdvertiserId, AdvertiserOf, DepositNonce, DidMethodSpecId, GlobalId, ProposalVotes, Public, TagCoefficient, TagScore, TagType
You are connected to chain Development using Parami Node v3.1.0-8b5068b-x86_64-macos
ws client has connected to ws://127.0.0.1:9944
continue to scan eth from 4856
bestBlockNum 4868, targetBlockNum 4856
bestBlockNum 4869, targetBlockNum 4857
bestBlockNum 4870, targetBlockNum 4858
bestBlockNum 4871, targetBlockNum 4859
bestBlockNum 4872, targetBlockNum 4860
bestBlockNum 4873, targetBlockNum 4861
bestBlockNum 4874, targetBlockNum 4862
bestBlockNum 4875, targetBlockNum 4863
bestBlockNum 4876, targetBlockNum 4864
bestBlockNum 4877, targetBlockNum 4865
bestBlockNum 4878, targetBlockNum 4866
bestBlockNum 4879, targetBlockNum 4867
bestBlockNum 4880, targetBlockNum 4868
bestBlockNum 4881, targetBlockNum 4869
bestBlockNum 4882, targetBlockNum 4870
bestBlockNum 4883, targetBlockNum 4871
signer=5GrwvaEF5zXb26Fz9rcQpDWS57CtERHpNehXCPcNoHGKutQY, nonce=22   0x9f883b12fd0692714c2f28be6c40d3afdb9081d3   10000000000000000000
call BridgeTx {
  ethAddress: '0x9f883b12fd0692714c2f28be6c40d3afdb9081d3',
  amount: '10000000000000000000',
  nonce: '22',
  status: true,
  paramiAddress: '5GrwvaEF5zXb26Fz9rcQpDWS57CtERHpNehXCPcNoHGKutQY'
} 0x9F883b12fD0692714C2f28be6C40d3aFdb9081D3 undefined
call BridgeTx {
  ethAddress: '0x9f883b12fd0692714c2f28be6c40d3afdb9081d3',
  amount: '10000000000000000000',
  nonce: '22',
  status: true,
  paramiAddress: '5GrwvaEF5zXb26Fz9rcQpDWS57CtERHpNehXCPcNoHGKutQY'
} 0x9F883b12fD0692714C2f28be6C40d3aFdb9081D3 undefined
ReferenceError: opts is not defined
    at sendTx (file:///Users/libaozhong/parami/bridge/scan-parami.mjs:78:15)
    at scan (file:///Users/libaozhong/parami/bridge/scan-parami.mjs:133:17)
    at processTicksAndRejections (internal/process/task_queues.js:93:5)
    at async Command.<anonymous> (file:///Users/libaozhong/parami/bridge/scan-parami.mjs:36:13)
    at async Promise.all (index 0)
